贸易伙伴名称,贸易伙伴编码,ISO_A3,ISO_A2
墨西哥,429,MEX,MX
蒙特塞拉特,430,MSR,MS
尼加拉瓜,431,NIC,NI
巴拿马,432,PAN,PA
巴拉圭,433,PRY,PY
秘鲁,434,PER,PE
波多黎各,435,PRI,PR
萨巴（2023年起停用）,436
圣卢西亚,437,LCA,LC
法属圣马丁,438,MAF,MF
圣文森特和格林纳丁斯,439,VCT,VC
萨尔瓦多,440,SLV,SV
苏里南,441,SUR,SR
特立尼达和多巴哥,442,TTO,TT
特克斯和凯科斯群岛,443,TCA,TC
乌拉圭,444,URY,UY
委内瑞拉,445,VEN,VE
英属维尔京群岛,446,VGB,VG
圣基茨和尼维斯,447,KNA,KN
圣皮埃尔和密克隆（2023年起停用）,448
博纳尔，圣俄斯塔休斯和萨巴,449,BES,BQ
圣巴泰勒米（2023年起增列）,450,BLM,BL
布维岛（2023年起增列）,451,BVT,BV
福克兰群岛（马尔维纳斯）（2023年以后）,452,FLK,FK
南乔治亚岛和南桑德韦奇岛（2023年以后）,453,SGS,GS
荷属圣马丁（2023年起增列）,454,SXM,SX
美属维尔京群岛（2023年起增列）,455,VIR,VI
安圭拉（2023年起增列）,456,AIA,AI
拉丁美洲其他国家(地区),499,ZSA,-
加拿大,501,CAN,CA
美国,502,USA,US
格陵兰,503,GRL,GL
百慕大,504,BMU,BM
圣皮埃尔和密克隆（2023年起）,505,SPM,PM
北美洲其他国家(地区),599,ZNA,-
澳大利亚,601,AUS,AU
库克群岛,602,COK,CK
斐济,603,FJI,FJ
盖比群岛（2023年起停用）,604
马克萨斯群岛（2023年起停用）,605
瑙鲁,606,NRU,NR
新喀里多尼亚,607,NCL,NC
瓦努阿图,608,VUT,VU
新西兰,609,NZL,NZ
诺福克岛,610,NFK,NF
巴布亚新几内亚,611,PNG,PG
社会群岛（2023年起停用）,612
所罗门群岛,613,SLB,SB
汤加,614,TON,TO
土阿莫土群岛（2023年起停用）,615
土布艾群岛（2023年起停用）,616
萨摩亚,617,WSM,WS
基里巴斯,618,KIR,KI
图瓦卢,619,TUV,TV
密克罗尼西亚联邦,620,FSM,FM
马绍尔群岛,621,MHL,MH
帕劳,622,PLW,PW
法属波利尼西亚,623,PYF,PF
瓦利斯和富图纳,625,WLF,WF
美属萨摩亚（2023年起增列）,626,ASM,AS
科科斯（基林）群岛（2023年起增列）,627,CCK,CC
圣诞岛（2023年起增列）,628,CXR,CX
关岛（2023年起增列）,629,GUM,GU
赫德岛和麦克唐纳岛（2023年起增列）,630,HMD,HM
北马里亚纳群岛（2023年起增列）,631,MNP,MP
纽埃（2023年起增列）,632,NIU,NU
皮特凯恩（2023年起增列）,633,PCN,PN
托克劳（2023年起增列）,634,TKL,TK
美国本土外小岛屿（2023年起增列）,635,UMI,UM
大洋洲其他国家(地区),699,ZOC,-
南极洲（2023年起增列）,700,ATA,AQ
国家（地区）不明,701,ZZZ,-
